"Connect ID","Node A","Node B","Node C","Node D","Node E","Node F","Node G","Node H"
"6003","30064771113","8589934822","","","","","",""
"6002","30064771113","38654705676","38654705675","38654705677","","","",""
"6001","21474836490","38654705676","38654705675","38654705677","","","",""
"6005","8589934822","8589935190","","","","","",""
"6006","8589934824","8589934834","","","","","",""
"6007","8589934824","25769803778","25769803777","25769803779","","","",""
"6008","8589934825","8589934826","","","","","",""
"6009","8589934825","25769803782","25769803781","25769803780","","","",""
"6010","8589934826","8589934835","","","","","",""
"6011","8589934827","8589934833","","","","","",""
"6012","8589934827","25769803785","25769803783","25769803784","","","",""
"6013","8589934828","8589934977","8589935221","","","","",""
"6014","8589934828","8589934831","","","","","",""
"6015","8589934829","8589934977","8589934984","","","","",""
"6016","8589934829","8589934837","","","","","",""
"6017","8589934830","8589935304","","","","","",""
"6018","8589934830","8589934840","","","","","",""
"6019","8589934831","8589934841","","","","","",""
"6020","8589934832","8589934839","","","","","",""
"6021","8589934832","25769803787","25769803786","25769803788","","","",""
"6022","8589934833","8589935109","8589935169","","","","",""
"6023","8589934834","8589934836","","","","","",""
"6024","8589934835","8589935197","8589935396","","","","",""
"6025","8589934836","8589934975","","","","","",""
"6026","8589934837","8589934838","","","","","",""
"6027","8589934838","25769803790","25769803791","25769803789","","","",""
"6028","8589934839","8589934840","","","","","",""
"6029","8589934841","25769803792","25769803794","25769803793","","","",""
"6030","8589934842","8589935408","8589936938","","","","",""
"6031","8589934842","8589935329","","","","","",""
"6032","8589934843","25769803795","8589934873","","","","",""
"6033","8589934843","8589934940","8589936844","","","","",""
"6034","8589934844","8589934929","","","","","",""
"6035","8589934844","8589934918","8589936224","","","","",""
"6036","8589934845","25769803796","8589934849","","","","",""
"6037","8589934845","25769803797","8589934935","","","","",""
"6038","8589934846","8589934939","8589935728","","","","",""
"6039","8589934846","8589934855","8589936009","","","","",""
"6040","8589934847","8589934877","","","","","",""
"6041","8589934847","8589934889","","","","","",""
"6042","8589934848","8589935091","8589935133","","","","",""
"6043","8589934848","8589934913","","","","","",""
"6044","8589934849","8589934906","8589936241","","","","",""
"6045","8589934850","8589934910","","","","","",""
"6046","8589934850","25769803798","8589934928","","","","",""
"6047","8589934851","8589934914","","","","","",""
"6048","8589934851","8589934894","","","","","",""
"6049","8589934852","25769803799","8589934920","","","","",""
"6050","8589934852","8589934952","8589935925","","","","",""
"6051","8589934853","25769803800","8589934933","","","","",""
"6052","8589934853","8589934953","8589935853","","","","",""
"6053","8589934854","8589935235","8589935302","","","","",""
"6054","8589934854","25769803801","8589934874","","","","",""
"6055","8589934855","8589934861","","","","","",""
"6056","8589934856","8589934889","","","","","",""
"6057","8589934856","8589934898","8589935894","","","","",""
"6058","8589934857","25769803802","8589934887","","","","",""
"6059","8589934857","8589934859","","","","","",""
"6060","8589934858","25769803803","8589934928","","","","",""
"6061","8589934858","25769803804","8589934919","","","","",""
"6062","8589934859","25769803805","8589934936","","","","",""
"6063","8589934860","8589934896","","","","","",""
"6064","8589934860","25769803806","8589934914","","","","",""
"6065","8589934861","25769803807","8589934891","","","","",""
"6066","8589934862","8589934883","","","","","",""
"6067","8589934862","8589934863","8589937070","","","","",""
"6068","8589934863","8589934938","8589934998","","","","",""
"6069","8589934864","8589934880","","","","","",""
"6070","8589934864","25769803808","8589934893","","","","",""
